Operational quantity,H10,H100,H150,H20,H200,H250,H280,H30,H300,H350,H40,H400,H60,H80,L10,L100,L125,L170,L20,L210,L240,L30,L35,L55,L70,N10,N100,N120,N15,N150,N20,N200,N25,N250,N30,N300,N350,N40,N400,N60,N80,W110,W150,W200,W250,W30,W300,W40,W60,W80
H_prime(3) 15º,0.0485425911287606,1.547707315091969,1.6172553050828269,0.342630499053276,1.5718883694946353,1.5132796247842455,1.4645133400061714,0.7075463431862262,1.465632989485023,1.4213716994391798,0.9438384029144836,1.3889375073982335,1.278357152951753,1.4600362991364029,0.1179205190035088,1.6480054001275812,1.5759552181861374,1.4702693555316717,0.7670037356362407,1.406853610808347,1.3712213202483434,1.1037297426669512,1.2026124790100725,1.553112758426597,1.6662030417522862,0.0790412374279367,1.6561816592303429,1.6025537064272883,0.4102514296264686,1.5470606324158418,0.6857018244458974,1.438958665294496,0.87720957759392,1.3761011864459878,1.027065540370805,1.3337175377916228,1.3033764572291762,1.2616032138941904,1.27867782694285,1.5358843788308336,1.6724182026098242,1.6546501703324603,1.5811484108555585,1.4915927794301251,1.423304862424386,0.9511270884379246,1.37709451031099,1.1434898351220926,1.4727237204018695,1.602765061916784
H_prime(3) 180º,0.0,0.030936850951795,0.0589874173757463,0.0,0.076238780772268,0.0884340379106978,0.0977287053551223,3.5122162592015377e-06,0.0976733723695971,0.1068914176870335,0.0001951275261262,0.1147392802722076,0.0052951582882225,0.0180352690993928,0.0,0.0721134079290868,0.0828321516253928,0.0947116777079319,0.0,0.1051255156847947,0.1132336514364232,6.79566248007164e-05,0.0005535173488269,0.0189281643611088,0.0423787016623339,0.0,0.0692949534023211,0.0792675731096765,0.0,0.0859098775404819,0.0,0.0996137162750048,2.707053615421949e-07,0.1123082563828471,2.7441015535524568e-05,0.1250158094435148,0.1371250770828799,0.0016104733260403,0.1493988863457327,0.0186070264930075,0.0490962713982484,0.0642747784745795,0.0804483587602065,0.0926971845850934,0.1033444897819102,1.3577196830632152e-05,0.1135141477951617,0.000651368165814,0.0135788899247583,0.0328795663612021
H_prime(3) 30º,0.0369429456265277,1.529337907834088,1.6021650066543285,0.3112797584094872,1.5614631312020275,1.5066911747422738,1.4607758099490733,0.678885601723751,1.4616640391624334,1.4196029426659975,0.9214848278629746,1.388569251070908,1.2605722631721652,1.4415840750969204,0.0940196011370996,1.6341161292606563,1.566934659494778,1.4666767558239306,0.7388089863603192,1.406166144727649,1.3719480651915716,1.0870090367952907,1.1863299259641042,1.5333393830670352,1.6463240905690657,0.061482015138277,1.6414539300997528,1.5918292251961257,0.3731646147808043,1.5395529311845968,0.6543639382491614,1.436843272706155,0.8538167585136133,1.3766295284046484,1.0086165355441787,1.335843217081903,1.306422084385267,1.2449951873674556,1.2822753149188626,1.5164000997228264,1.653427768601358,1.6390944530609135,1.5713601745201524,1.4868619357061508,1.4217902516595662,0.930134885882226,1.3775173430219927,1.126178574096941,1.453949583542616,1.5833845640977922
H_prime(3) 45º,0.0210620614315759,1.4917578003451504,1.571311784036915,0.2564198661100994,1.539485998819954,1.4919623925297305,1.4514306484432271,0.622564566159309,1.4518869957823035,1.41400178303716,0.8748763553153759,1.3856699870908442,1.2228777480396702,1.4034069316777982,0.058324138454278,1.6056701042756152,1.5475661594584509,1.4575719502484723,0.6812654196329864,1.402537439186426,1.3710945605610692,1.0506121525143697,1.151110111201512,1.4930153333435707,1.6064921311492046,0.0364350180087726,1.611410766595128,1.5692652284801187,0.3056250900042728,1.5231064634847264,0.5920213055229184,1.4304978392727503,0.8048427784540206,1.3753772064435086,0.9688274878920682,1.337623033117669,1.310081490006743,1.2093438085942254,1.2872772270509996,1.476576223792215,1.6152872100198743,1.607470023328197,1.5506009693628957,1.4756173270936328,1.4166332654159042,0.8856350462847279,1.3760491139062705,1.088857838444803,1.415168343522733,1.5441401322358397
H_prime(3) 60º,0.006815388207947,1.4190813273198304,1.5107949833454228,0.1761833459346065,1.493577635603171,1.457993425329644,1.426398809717785,0.521279597797437,1.4262248839615537,1.3954730965142974,0.7829050333878864,1.3719061179813468,1.14683237464452,1.328663033227971,0.0215249191592372,1.5493933813035696,1.5057988714466315,1.4325531798193143,0.570720230801553,1.3868910998218815,1.360462332851121,0.9747598239415484,1.0781811316883714,1.4158032583230515,1.5315409939284537,0.0124920104720386,1.552609751225819,1.522395837101245,0.201277473556557,1.4860485911981338,0.4776357496793263,1.4101567599333835,0.7073338510861054,1.364052099289959,0.886691476916695,1.3320166665959128,1.3082183346062592,1.1363773683553038,1.288250992636294,1.3999864120404502,1.5432673283370126,1.5460513558157736,1.5066197514242938,1.44714659909013,1.398475469312245,0.7956535692567996,1.364466768794074,1.0119310418297207,1.3395313745055488,1.469372111954591
H_prime(3) 75º,0.0005483255155354,1.2627441619994169,1.3764048472795911,0.0770917905471277,1.3824059091735206,1.3658810865083642,1.3487064215372986,0.3395570666542654,1.3477164086941713,1.3289738323846387,0.5893383692821018,1.313793264252133,0.9765754365376718,1.1662782134549314,0.0019851787309202,1.422320563029907,1.4006993237298058,1.3540075472688304,0.3535044530695139,1.324260654095491,1.306805911874992,0.7981153721886322,0.9100261409404892,1.2527406253413678,1.3751470445830318,0.0010609253112259,1.4216609959551254,1.4095510503353672,0.0705485002462706,1.3882873472302488,0.2722858717265653,1.3394708012886265,0.4998249470203408,1.3091720882861362,0.6988394492911799,1.287874145144394,1.2717546142089502,0.9703479623196222,1.25800827278067,1.2373476228423126,1.391654777368786,1.4109476771680036,1.3982271169654732,1.3632369496934045,1.3317659967960482,0.5980041765551762,1.309373252811187,0.8358044864308933,1.1763845986643484,1.3114724402472966
H_prime(3) 90º,7.272042063278837e-06,0.8489864889003423,0.9987210125369916,0.006506197754511,1.0410734254607068,1.0553897767541187,1.0621745271223977,0.0827801684919644,1.0604213759776098,1.0630548648480562,0.2162028983310723,1.0637773915818307,0.5438716266427467,0.7414403008693645,2.4119432465467497e-05,1.055484672205406,1.066749365036784,1.0637625437432787,0.0522617700295226,1.0626087727250502,1.062573688464638,0.3547252982222339,0.4693957762181182,0.8291829381410071,0.9655265657210654,1.3560319333757773e-05,1.0492404584395134,1.0638607952988015,0.0020137149885819,1.0662113433863003,0.0332344791666635,1.0631981035555411,0.1271289535379806,1.062670812468571,0.2683678464719419,1.0635999784723724,1.064486458108208,0.5329756098798538,1.065504306011886,0.8135723883144992,0.989208689769068,1.03254682895039,1.0598719771939835,1.0644671216787562,1.06329354628802,0.1978067228028588,1.0631509545180573,0.4002246039458009,0.7493772282521037,0.8971790848153954
"Hp(0.07, pillar) 0º",0.8968813469578077,1.3372183550048415,1.3637942871500726,0.9582905331053992,1.3398621927438406,1.3107668310516514,1.286742579561665,1.014916602750736,1.2872100507114317,1.265235109039306,1.076527308532781,1.248984496791197,1.2161225311899138,1.2992233220521687,0.9322678216832518,1.3743579886029578,1.341326382736625,1.2903312571920458,1.0115995949686192,1.258568582143629,1.2405183634416057,1.130702410530938,1.1794941318405865,1.3447824285717829,1.3891474770816838,0.9188370621234432,1.378479072173502,1.3532642064509963,0.9651535151231968,1.3276923012155224,0.9989691281812408,1.2745755225791304,1.042288515000173,1.2429839252875674,1.0972873543963029,1.221453786466856,1.2057026461068612,1.20887469079701,1.1928093159281865,1.336353044390818,1.389900212319347,1.3788950672370346,1.3436550912173253,1.3004938969996018,1.2666912387101124,1.0697420298079825,1.243435752840811,1.1522050904235408,1.3076962353024186,1.3627137432360732
"Hp(0.07, rod) 0º",0.8965002230724183,1.12357445896861,1.1527604371618798,0.956388750736708,1.160124282415268,1.1594341668928447,1.1571117378120874,0.998071568951532,1.1561534785875638,1.151896440736992,1.0290021861805454,1.1477840472027865,1.076723093750034,1.105143266779899,0.9318776853486164,1.1677231925788143,1.1702762588479696,1.160404887860664,1.0010033678489092,1.1520458224412629,1.1465002307589938,1.0540500112406466,1.067387618567302,1.1145211814409737,1.1423067001808906,0.9184291314382212,1.1656917824238475,1.1698399781724351,0.9639030251246932,1.1682786112878634,0.991762122068326,1.1564001596761115,1.0180270352425214,1.147227823765956,1.0419639399524037,1.1402630577676305,1.135025620091902,1.0747239369080666,1.1307097648237217,1.112757261069355,1.148307114226298,1.1608426813347623,1.1675596958295626,1.162220016326199,1.153942725909556,1.029852055333328,1.147128889861296,1.058472621370854,1.1034302234818931,1.1296007093029892
"Hp(0.07, slab) 0º",0.896373478336006,1.5818192809643723,1.6671388626570922,0.9583056369631006,1.6262105667567135,1.5669864525510513,1.5166999295396597,1.0195382928403758,1.5173703522559778,1.470506799656051,1.0959526468963885,1.4355339503738471,1.3158914833529425,1.4880082522825664,0.9317508240002946,1.7098361413390477,1.6374850650165638,1.5231658938373511,1.0134822085007114,1.4550175290665768,1.4176804837287116,1.159953418701317,1.2342187978875,1.5734574336874396,1.7078612745317685,0.9183130343829456,1.716744180437527,1.6649911603552343,0.9651948253597769,1.6059504656196937,1.0001842318853975,1.489501903895195,1.0484172784585517,1.4228085643076642,1.116089736577214,1.3767056986364732,1.3426407714987008,1.2856392909024337,1.314556392714768,1.556850238309693,1.7201313063209784,1.711503826747227,1.6407789131990016,1.5461516817734182,1.473038975175808,1.0822541939585086,1.4235235526887011,1.1977981191248208,1.4918614968038837,1.6363467784079428
